	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.8188011646270752	0.8353092074394226	0.8465303778648376	0.8428372740745544	0.8653186559677124	0.860048234462738	0.8523129224777222	0.8539867401123047	0.4138861298561096	0.4930778443813324	0	0.5106167197227478	0.7326964735984802	0.3829594850540161	0.5612642168998718	0.7180085182189941	0.507724404335022	0.6243861317634583	0.8343702554702759	0.4750511944293976	0.6791424751281738	0.4725286662578583	0.7318499684333801	0.7967559695243835	0.800188422203064	0.7667349576950073	0.7805778980255127	0.7836129665374756	0.7720334529876709	0.774781346321106	0.7821569442749023
L2S222	0.8642945289611816	0.8789620995521545	0.883540153503418	0.8820270895957947	0.8964658379554749	0.8944880366325378	0.8847754597663879	0.8950977921485901	0.5829522013664246	0.5979155302047729	0.5106167197227478	0	0.7853686213493347	0.5644793510437012	0.6959108710289001	0.7454645037651062	0.6743807196617126	0.7335036993026733	0.8822533488273621	0.6089435815811157	0.7348503470420837	0.5337555408477783	0.8090268969535828	0.8516026139259338	0.8478628396987915	0.8238967061042786	0.8302972912788391	0.833930492401123	0.8207736015319824	0.8163515329360962	0.8314344882965088
L2S240	0.766004204750061	0.717725932598114	0.78093022108078	0.8172653317451477	0.8225978016853333	0.818528413772583	0.8101364374160767	0.7712199687957764	0.7010806798934937	0.5842767953872681	0.7326964735984802	0.7853686213493347	0	0.6894346475601196	0.6084626317024231	0.5178552269935608	0.6319760084152222	0.5274043083190918	0.694421648979187	0.6979080438613892	0.5298033952713013	0.7286671996116638	0.4279821217060089	0.3982305824756622	0.3802007138729095	0.3351358473300934	0.3718830645084381	0.3132876455783844	0.3257132768630981	0.2744393646717072	0.3430295288562775
L2S309	0.782206118106842	0.788185179233551	0.8302736282348633	0.820412278175354	0.8454532027244568	0.8337618112564087	0.824251651763916	0.8012247085571289	0.4200792908668518	0.4488053321838379	0.3829594850540161	0.5644793510437012	0.6894346475601196	0	0.4945137500762939	0.6856810450553894	0.4652311503887177	0.6123494505882263	0.7788596749305725	0.4385986626148224	0.63228839635849	0.3950014710426331	0.6764017939567566	0.7436280846595764	0.754703164100647	0.7069759964942932	0.7220410108566284	0.7297632694244385	0.7490056157112122	0.7352471351623535	0.7433947324752808
L2S357	0.8077471256256104	0.7933553457260132	0.7942481637001038	0.81106036901474	0.8273383975028992	0.7994770407676697	0.8041667938232422	0.76967453956604	0.5901600122451782	0.5782662630081177	0.5612642168998718	0.6959108710289001	0.6084626317024231	0.4945137500762939	0	0.648951530456543	0.5517706871032715	0.5065566897392273	0.7723256945610046	0.5308250188827515	0.5556974411010742	0.6265286803245544	0.5639936327934265	0.6596860885620117	0.6923874020576477	0.5981630682945251	0.6421613693237305	0.6523112654685974	0.6796069145202637	0.6464288830757141	0.6557378172874451
L2S382	0.826339066028595	0.8125375509262085	0.8593145608901978	0.8585606813430786	0.8794690370559692	0.8774381875991821	0.8693416118621826	0.8565170168876648	0.6801717281341553	0.5682868957519531	0.7180085182189941	0.7454645037651062	0.5178552269935608	0.6856810450553894	0.648951530456543	0	0.6920693516731262	0.6100835800170898	0.8137021660804749	0.6865053772926331	0.282339334487915	0.6994938850402832	0.6619620323181152	0.6899245381355286	0.6082862019538879	0.6219067573547363	0.6140902042388916	0.6433342099189758	0.5208796262741089	0.5591498017311096	0.5618730783462524
L3S294	0.8421472311019897	0.8133360147476196	0.857638955116272	0.8742321729660034	0.8865090012550354	0.879086971282959	0.8753886818885803	0.8491670489311218	0.4772374033927917	0.4777225852012634	0.507724404335022	0.6743807196617126	0.6319760084152222	0.4652311503887177	0.5517706871032715	0.6920693516731262	0	0.5580999851226807	0.7946462035179138	0.5264647603034973	0.6179642081260681	0.5844261050224304	0.5995938777923584	0.6697880029678345	0.6802369356155396	0.6615757942199707	0.6467017531394958	0.6711362600326538	0.7258651852607727	0.6962698101997375	0.7102738618850708
L3S313	0.7256861925125122	0.7125759720802307	0.7803553342819214	0.7967661619186401	0.8170655369758606	0.8066867589950562	0.7919245362281799	0.7617336511611938	0.6110634803771973	0.5104691386222839	0.6243861317634583	0.7335036993026733	0.5274043083190918	0.6123494505882263	0.5065566897392273	0.6100835800170898	0.5580999851226807	0	0.7053280472755432	0.6294763088226318	0.5743717551231384	0.6841937303543091	0.6102524399757385	0.5561836957931519	0.6032453179359436	0.5494139790534973	0.5761022567749023	0.5530277490615845	0.6433711647987366	0.6186659932136536	0.61839759349823
L3S378	0.5331854224205017	0.2803677320480347	0.504509449005127	0.5459312796592712	0.5379963517189026	0.5504496693611145	0.4592162072658539	0.4475064277648926	0.8495131134986877	0.8020713329315186	0.8343702554702759	0.8822533488273621	0.694421648979187	0.7788596749305725	0.7723256945610046	0.8137021660804749	0.7946462035179138	0.7053280472755432	0	0.8388108611106873	0.8097975850105286	0.8559672832489014	0.692246675491333	0.6366320848464966	0.6670482754707336	0.6718929409980774	0.6533079147338867	0.6078177690505981	0.7027177214622498	0.6784010529518127	0.7054123878479004
L4S112	0.83339923620224	0.8389226198196411	0.8555366992950439	0.8533507585525513	0.8777087330818176	0.8727496862411499	0.8650677800178528	0.8497578501701355	0.4791579246520996	0.4572224020957947	0.4750511944293976	0.6089435815811157	0.6979080438613892	0.4385986626148224	0.5308250188827515	0.6865053772926331	0.5264647603034973	0.6294763088226318	0.8388108611106873	0	0.626481294631958	0.4584659039974213	0.6984728574752808	0.7683011293411255	0.7720965147018433	0.7377898693084717	0.748867928981781	0.7562594413757324	0.7466022968292236	0.7410582900047302	0.7521544098854065
L4S137	0.8178068995475769	0.8062297105789185	0.8626963496208191	0.857623815536499	0.8844472765922546	0.8746288418769836	0.8661059737205505	0.8534079790115356	0.6539986133575439	0.5803394317626953	0.6791424751281738	0.7348503470420837	0.5298033952713013	0.63228839635849	0.5556974411010742	0.282339334487915	0.6179642081260681	0.5743717551231384	0.8097975850105286	0.626481294631958	0	0.6431704163551331	0.5585340261459351	0.66386479139328	0.593576967716217	0.6084080934524536	0.5825367569923401	0.6454816460609436	0.5639141201972961	0.5452490448951721	0.5337406396865845
