	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.986400725294651	0.9918404351767905	0.9909338168631007	0.9909338168631007	0.9927470534904805	0.9882139619220308	0.9882139619220308	0.985494106980961	0.8268359020852222	0.8096101541251133	0.0	0.7398005439709883	0.9465095194922938	0.7497733454215775	0.6935630099728014	0.8902991840435177	0.8422484134179511	0.8340888485947416	0.9981867633726201	0.7343608340888486	0.8667271078875793	0.7606527651858568	0.929283771532185	0.9619220308250227	0.9619220308250227	0.9483227561196736	0.957388939256573	0.9510426110607434	0.9510426110607434	0.9419764279238441	0.9365367180417045
L2S222	0.9746146872166818	0.9909338168631007	0.9909338168631007	0.9891205802357208	0.986400725294651	0.9818676337262012	0.9800543970988214	0.9882139619220308	0.8014505893019039	0.771532184950136	0.7398005439709883	0.0	0.9392565729827742	0.7951042611060744	0.8232094288304623	0.8830462375339981	0.8522212148685403	0.8186763372620127	0.9963735267452403	0.7796917497733454	0.8594741613780599	0.7325475974614687	0.9492293744333635	0.956482320942883	0.956482320942883	0.9446962828649139	0.9501359927470535	0.942883046237534	0.9374433363553943	0.9356300997280145	0.9265639165911151
L2S240	0.9981867633726201	0.9972801450589301	0.9963735267452403	0.99909338168631	0.99909338168631	0.99909338168631	0.99909338168631	0.9963735267452403	0.9057116953762466	0.8631006346328196	0.9465095194922938	0.9392565729827742	0.0	0.8694469628286491	0.8177697189483227	0.8712601994560291	0.942883046237534	0.85766092475068	0.9927470534904805	0.8223028105167725	0.7978241160471442	0.8930190389845875	0.43336355394378967	0.4487760652765186	0.5194922937443336	0.42611060743427015	0.47053490480507704	0.1414324569356301	0.33363553943789664	0.2157751586582049	0.43789664551223934
L2S309	0.9800543970988214	0.9737080689029919	0.9628286491387126	0.9682683590208522	0.9637352674524026	0.9800543970988214	0.9809610154125114	0.9891205802357208	0.6826835902085222	0.5376246600181324	0.7497733454215775	0.7951042611060744	0.8694469628286491	0.0	0.41523118766999095	0.7216681776971895	0.7633726201269265	0.5194922937443336	0.9728014505893019	0.41160471441523117	0.6364460562103355	0.46237533998186764	0.8268359020852222	0.8830462375339981	0.9057116953762466	0.844061650045331	0.8912058023572076	0.8476881233000907	0.8957388939256573	0.8522212148685403	0.8340888485947416
L2S357	0.9873073436083409	0.9945602901178604	0.9936536718041704	0.9936536718041704	0.9954669084315503	0.9882139619220308	0.9882139619220308	0.985494106980961	0.6464188576609248	0.5349048050770625	0.6935630099728014	0.8232094288304623	0.8177697189483227	0.41523118766999095	0.0	0.7216681776971895	0.71441523118767	0.4959202175883953	0.9963735267452403	0.28014505893019037	0.5757026291931097	0.5557570262919311	0.8132366273798731	0.8640072529465095	0.8848594741613781	0.8223028105167725	0.885766092475068	0.8023572076155938	0.8476881233000907	0.8123300090661831	0.7869446962828649
L2S382	0.9945602901178604	0.99909338168631	0.9981867633726201	0.9981867633726201	1.0	1.0	1.0	0.9972801450589301	0.7824116047144152	0.7216681776971895	0.8902991840435177	0.8830462375339981	0.8712601994560291	0.7216681776971895	0.7216681776971895	0.0	0.8594741613780599	0.7398005439709883	0.9981867633726201	0.6971894832275612	0.4904805077062557	0.7978241160471442	0.8349954669084315	0.8739800543970988	0.8966455122393472	0.8186763372620127	0.8884859474161378	0.8585675430643699	0.8848594741613781	0.8522212148685403	0.8105167724388033
L3S294	1.0	0.99909338168631	0.9981867633726201	0.9981867633726201	1.0	1.0	1.0	0.9972801450589301	0.36627379873073435	0.6618313689936537	0.8422484134179511	0.8522212148685403	0.942883046237534	0.7633726201269265	0.71441523118767	0.8594741613780599	0.0	0.6346328195829556	0.9981867633726201	0.729827742520399	0.8168631006346329	0.7552130553037172	0.9265639165911151	0.9528558476881233	0.9510426110607434	0.9238440616500453	0.9510426110607434	0.9510426110607434	0.9555757026291931	0.9410698096101541	0.9338168631006346
L3S313	0.9800543970988214	0.9927470534904805	0.9936536718041704	0.9936536718041704	0.9954669084315503	0.9900271985494107	0.9900271985494107	0.9873073436083409	0.5557570262919311	0.3055303717135086	0.8340888485947416	0.8186763372620127	0.85766092475068	0.5194922937443336	0.4959202175883953	0.7398005439709883	0.6346328195829556	0.0	0.9981867633726201	0.4959202175883953	0.6790571169537625	0.6219401631912964	0.8340888485947416	0.8241160471441523	0.8721668177697189	0.814143245693563	0.8803263825929284	0.8513145965548504	0.9075249320036265	0.886672710788758	0.8558476881233001
L3S378	0.757026291931097	0.25294650951949227	0.40253853127833183	0.4768812330009066	0.46781504986400724	0.7470534904805077	0.7651858567543064	0.7325475974614687	0.9981867633726201	0.9981867633726201	0.9981867633726201	0.9963735267452403	0.9927470534904805	0.9728014505893019	0.9963735267452403	0.9981867633726201	0.9981867633726201	0.9981867633726201	0.0	0.9981867633726201	0.9981867633726201	0.9963735267452403	0.9981867633726201	0.9927470534904805	0.9981867633726201	0.9963735267452403	0.9981867633726201	0.9900271985494107	0.9954669084315503	0.9981867633726201	0.9945602901178604
L4S112	0.9873073436083409	0.9945602901178604	0.9954669084315503	0.9954669084315503	0.9972801450589301	0.9909338168631007	0.9909338168631007	0.9882139619220308	0.6636446056210336	0.5176790571169537	0.7343608340888486	0.7796917497733454	0.8223028105167725	0.41160471441523117	0.28014505893019037	0.6971894832275612	0.729827742520399	0.4959202175883953	0.9981867633726201	0.0	0.5602901178603807	0.5557570262919311	0.8168631006346329	0.8513145965548504	0.8739800543970988	0.8087035358114234	0.8757932910244787	0.8132366273798731	0.8612873980054397	0.8232094288304623	0.7951042611060744
