	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L3S294	0.8069724440574646	0.8388410806655884	0.8370672464370728	0.8280904293060303	0.7849206328392029	0.7654698491096497	0.8085802793502808	0.8030012845993042	0.1375878006219864	0.2354990541934967	0.3444676995277405	0.3641608953475952	0.4312522113323212	0.3032931685447693	0.2522308528423309	0.4611960351467133	0	0.2331103533506393	0.8418872356414795	0.2785912752151489	0.3714731931686401	0.2823876142501831	0.4370224475860596	0.4650170207023621	0.699633777141571	0.4586746692657471	0.523405134677887	0.4449426829814911	0.4405162632465363	0.4341928064823151	0.6805537939071655
L3S313	0.7834896445274353	0.826482892036438	0.8263017535209656	0.8189166784286499	0.7747951149940491	0.7567018866539001	0.798483669757843	0.7934600114822388	0.208426833152771	0.08673748373985291	0.4362322092056274	0.454436719417572	0.4088743627071381	0.1934529393911362	0.1520707011222839	0.380288302898407	0.2331103533506393	0	0.8309940099716187	0.172261506319046	0.2817335426807404	0.2514172494411469	0.4094058871269226	0.3879461586475372	0.6454970240592957	0.3849247097969055	0.4876150190830231	0.4083633124828339	0.4441547095775604	0.4183629155158997	0.6571003794670105
L3S378	0.1077261716127396	0.04587193205952644	0.1081594526767731	0.1211882308125496	0.1514421403408051	0.1524641066789627	0.09641541540622711	0.1553751975297928	0.8444551825523376	0.8264151811599731	0.717313289642334	0.743043065071106	0.743779718875885	0.7991738319396973	0.8047983646392822	0.7508482933044434	0.8418872356414795	0.8309940099716187	0	0.7931097745895386	0.7432107925415039	0.8301190733909607	0.7906982898712158	0.7575197219848633	0.6588606238365173	0.7584418654441833	0.721453070640564	0.7446070313453674	0.7252126932144165	0.7422420978546143	0.6248237490653992
L4S112	0.7533347010612488	0.7891625761985779	0.7883924245834351	0.7798556089401245	0.7364978790283203	0.7177579402923584	0.7596615552902222	0.7514294981956482	0.2386436760425568	0.2005492448806763	0.3329912126064301	0.3465472459793091	0.3426995873451233	0.1102135330438614	0.07434190809726715	0.3324421644210815	0.2785912752151489	0.172261506319046	0.7931097745895386	0	0.2097044736146927	0.2003670483827591	0.3275005221366882	0.3255054950714111	0.5877246260643005	0.3219157755374908	0.4232942461967468	0.3449813723564148	0.3775576055049896	0.3540498614311218	0.5896543264389038
L4S137	0.6966959238052368	0.7388877272605896	0.7398443222045898	0.7292904853820801	0.6871192455291748	0.668913722038269	0.7100456953048706	0.7048842906951904	0.3342490792274475	0.2486622035503387	0.3258461356163025	0.3116637766361237	0.2530691027641296	0.2408206164836884	0.2152806222438812	0.2032546401023865	0.3714731931686401	0.2817335426807404	0.7432107925415039	0.2097044736146927	0	0.3112618923187256	0.2413080632686615	0.2316422015428543	0.4706015884876251	0.209036186337471	0.2837807238101959	0.2523369193077087	0.2891503572463989	0.2611854076385498	0.4497234523296356
L4S63	0.7842639684677124	0.8256435394287109	0.826225757598877	0.8168997168540955	0.774557888507843	0.7545296549797058	0.797264039516449	0.7779943943023682	0.2273822724819183	0.2590944766998291	0.3453079164028168	0.3342784345149994	0.4065913259983063	0.1531302779912949	0.1973959505558014	0.3731920421123505	0.2823876142501831	0.2514172494411469	0.8301190733909607	0.2003670483827591	0.3112618923187256	0	0.4088777899742126	0.438370555639267	0.6552929282188416	0.4265835583209991	0.4969449639320374	0.4207164645195007	0.4251321256160736	0.4114921092987061	0.6475764513015747
L5S104	0.7465991377830505	0.7878405451774597	0.7872235774993896	0.780600905418396	0.7348616123199463	0.7201759815216064	0.7601524591445923	0.7590611577033997	0.4266748428344727	0.3801048994064331	0.4062249660491943	0.3828240931034088	0.2258142679929733	0.3554589748382568	0.3320198655128479	0.2805129289627075	0.4370224475860596	0.4094058871269226	0.7906982898712158	0.3275005221366882	0.2413080632686615	0.4088777899742126	0	0.1941836923360825	0.4297880232334137	0.1561193913221359	0.2556644678115845	0.2040798664093018	0.3026044070720673	0.2331371903419495	0.4395834803581238
L5S155	0.7132225632667542	0.7542141079902649	0.7517669200897217	0.7454516887664795	0.6997556090354919	0.6871177554130554	0.7252908945083618	0.725775420665741	0.4311790764331818	0.3588501513004303	0.3577424287796021	0.3680696785449982	0.09787209331989288	0.3624445199966431	0.3290495872497559	0.3298201560974121	0.4650170207023621	0.3879461586475372	0.7575197219848633	0.3255054950714111	0.2316422015428543	0.438370555639267	0.1941836923360825	0	0.4376243650913239	0.08402813971042633	0.2336164265871048	0.07652468979358673	0.1606548428535461	0.1076651960611343	0.4199149906635284
L5S174	0.6156553030014038	0.6558631658554077	0.6542670130729675	0.6472798585891724	0.6022390127182007	0.5893540978431702	0.626844584941864	0.6240241527557373	0.6638318300247192	0.6216466426849365	0.5963473916053772	0.5768077969551086	0.4209451973438263	0.615974485874176	0.6007596254348755	0.422053188085556	0.699633777141571	0.6454970240592957	0.6588606238365173	0.5877246260643005	0.4706015884876251	0.6552929282188416	0.4297880232334137	0.4376243650913239	0	0.3934908509254456	0.2871159613132477	0.4238112568855286	0.4647427797317505	0.4298500716686249	0.146238848567009
L5S203	0.7151219248771667	0.7556524276733398	0.7533137202262878	0.7472124099731445	0.7011261582374573	0.6875684261322021	0.7269875407218933	0.7270293831825256	0.4235803186893463	0.3493016064167023	0.3746223747730255	0.3660846948623657	0.1136324182152748	0.3556874692440033	0.323946624994278	0.2637796103954315	0.4586746692657471	0.3849247097969055	0.7584418654441833	0.3219157755374908	0.209036186337471	0.4265835583209991	0.1561193913221359	0.08402813971042633	0.3934908509254456	0	0.1828093230724335	0.1098789945244789	0.1732976734638214	0.1178915873169899	0.3742275834083557
